no,id,text,true_label,oof_pred,error_type,p_aggressive,p_affiliative,p_self-enhancing,p_self-defeating
519,1431621266583261187,Just cause we’re the Official Breakfast of College Football doesn’t mean we are playing around with breakfast.  ¯\_(ツ)_/,affiliative,self-enhancing,inter_other_confusion,0.2497,0.2900,0.3859,0.0744
520,1430213213367513093,There are Wendy’s Spicy Nuggs and then there are the knockoffs. #WendysSpicyNuggs,self-enhancing,self-enhancing,correct,0.2162,0.2263,0.3976,0.1599
521,1428703371024900102,"Croissant or ✨𝒬𝒲𝒜𝒮𝒜𝒰𝒩𝒯✨, no matter how you say it grab one this a.m. for just $1.99.",affiliative,aggressive,false_aggressive,0.2928,0.2329,0.2564,0.2179
522,1427345012677910533,Best Spicy Nuggs on the block. Verified. #WendysSpicyNuggs,self-enhancing,self-enhancing,correct,0.2002,0.2170,0.4809,0.1019
527,1425503905832701956,Do you love Wendy’s? Do you love Wendy’s Spicy Nuggs? Do you also love Discord? Then you’re going to triple love our Gen,self-enhancing,affiliative,inter_other_confusion,0.1508,0.3601,0.3187,0.1705
528,1425189040211566593,"Verified tweets for verified eats. There’s only one top dog in the spicy nugget game, and that’s verified. #WendysSpicyN",self-enhancing,affiliative,inter_other_confusion,0.2352,0.3250,0.2888,0.1510
531,1419719465453953024,Expand your  ✨🧠𝑀𝐼𝐼𝐼𝐼𝐼𝒩𝒟🧠✨and keep your pockets lined with BOGO $1.,affiliative,aggressive,false_aggressive,0.3853,0.2799,0.2656,0.0692
532,1419376178671009792,"Hey @Grubhub, what kind of food are you going to have at this livestream tonight? Asking for a hungry friend.",affiliative,aggressive,false_aggressive,0.3617,0.2920,0.1912,0.1550
534,1417914905617965066,Our BOGO $1 is for the big brains (not smol).,self-enhancing,aggressive,false_aggressive,0.3276,0.2265,0.3117,0.1342
535,1417199040542949378,Replying to your own tweet about BOGO $1 headshots knowing you’re going to big brain yourself https://t.co/ukbFR9wKJF,self-enhancing,affiliative,inter_other_confusion,0.2823,0.4110,0.2031,0.1036
536,1417137962215743489,We’re taking BOGO $1 headshots. Who wants one?,aggressive,affiliative,false_non_aggressive,0.2205,0.2998,0.2923,0.1874
539,1415476190920548354,It’s showtime! Get a FREE 4 piece spicy nuggets with FREE delivery on orders of $15 or more through @grubhub. Things are,self-enhancing,affiliative,inter_other_confusion,0.2045,0.3442,0.3394,0.1119
540,1415355158700171268,"Get your favorite Wendy’s meal, get your favorite chair, and get ready for @edsheeran to go live tonight at 9pm ET! Tune",affiliative,affiliative,correct,0.2203,0.3942,0.2281,0.1574
544,1407742489528836099,I am tired of lunch. These clowns. I am tired of people caught in the freezers of their beef. https://t.co/8qMWdd2CGf,aggressive,affiliative,false_non_aggressive,0.2887,0.3176,0.2788,0.1149
549,1406685219315404801,“And that’s the way the news goes!” https://t.co/147w3Q4SHX,aggressive,affiliative,false_non_aggressive,0.2794,0.3197,0.2241,0.1768
551,1406047214963728385,"If someone sees a Mr. Meeseeks walking around 14645 Roscoe Blvd, Panorama City, CA, please let him know that his break i",aggressive,aggressive,correct,0.3368,0.2515,0.2236,0.1881
553,1406015436915945475,"Sir, this is a Morty’s. https://t.co/u7B1GLMGLL",aggressive,self-defeating,false_non_aggressive,0.2269,0.2061,0.2785,0.2885
562,1400982621757247491,Thank you Julien https://t.co/42jvTo4e68,affiliative,affiliative,correct,0.1839,0.4459,0.1548,0.2153
564,1397992184213917701,"Every time I eat the Bourbon Bacon Cheeseburger I say “Time to get my Bourb-ON!” 

And then everybody laughs because I",self-defeating,affiliative,inter_other_confusion,0.2671,0.3968,0.2116,0.1245
566,1397493144254623748,"Britain just got a new favourite redhead. 

#SorryNotSorryRonald 😉",aggressive,self-enhancing,false_non_aggressive,0.2755,0.2876,0.3502,0.0866
572,1388192293216309250,"Oh, snap! $1 Any Size Fries and Pokemon Snap? Watch us play it on Twitch and grab yourself some $1 fries in our app! htt",affiliative,self-enhancing,inter_other_confusion,0.2263,0.2275,0.3197,0.2265
574,1385655564835901449,"Wendy, Honey, Butter and Chicken Biscuit are on the hunt again. Watch us stream Monster Hunter Rise on Twitch and grab a",self-enhancing,self-defeating,inter_other_confusion,0.1082,0.2443,0.2389,0.4086
575,1383119249741348866,We’re hunting monsters in Monster Hunter Rise on Twitch. And if you’re hunting a great deal get the $1.99 Honey Butter C,self-defeating,self-enhancing,inter_other_confusion,0.1579,0.2636,0.5063,0.0722
577,1382148071656591360,Yellow Wendy’s use to hit different 📈 https://t.co/NIRiwHv43w,self-defeating,affiliative,inter_other_confusion,0.2426,0.4200,0.2316,0.1059
587,1378437146709782530,"Friends finish each other's sentences, like how @Wendys has a $0 delivery fee on",self-enhancing,self-enhancing,correct,0.2729,0.2803,0.2949,0.1519
588,1377655396085727235,Free Junior Bacon Cheeseburger for all ya wah wah babies,aggressive,aggressive,correct,0.3218,0.2793,0.2553,0.1436
589,1377644234833063936,Buy-bu-bu-bu-buy,self-enhancing,aggressive,false_aggressive,0.3414,0.2464,0.2612,0.1510
593,1376979649578872837,What’s better than Wendy’s Honey Butter Chicken Biscuit? Wendy’s  $1.99 Honey Butter Chicken Biscuit. Get yours today! h,self-enhancing,self-enhancing,correct,0.1175,0.1660,0.4922,0.2243
600,1372971843255164934,"Watch us drain some threes in 2k, and score a free Honey Butter Chicken Biscuit this Saturday. 😎🍯
https://t.co/P0GZ7DIn",self-enhancing,self-enhancing,correct,0.1362,0.3080,0.3246,0.2312
601,1372888082979061767,"FREE Honey Butter Chicken Biscuit today and Saturday, NO CATCH. See? No losers in Biscuitball.🤘🏽🍯 https://t.co/VjyFP6uFA",self-enhancing,self-defeating,inter_other_confusion,0.1518,0.2427,0.2323,0.3733
604,1372241709497774085,"Direct deposit $1,400

Me at @Wendys: 🚨Bag alert major bag alert!!!🚨

💰💰💰",self-enhancing,self-enhancing,correct,0.2839,0.2277,0.2928,0.1955
608,1371829641674158086,I’m having @Wendys breakfast W or L,self-enhancing,self-enhancing,correct,0.2179,0.2155,0.4903,0.0763
609,1371526729534222338,"Ok, true story time: they are square because they have four equal sides that meat at 90 degree angles",aggressive,aggressive,correct,0.4217,0.3205,0.1496,0.1082
613,1370809149626417152,"I’d say your favorite combo is your new jersey number, but then everybody would be 44.",affiliative,aggressive,false_aggressive,0.3691,0.2362,0.2849,0.1098
615,1370466586314866690,"We’re back to making an Impact. Grab your FREE Spicy 10-Piece in our app, and then hop in the stream. https://t.co/P0GZ7",self-enhancing,affiliative,inter_other_confusion,0.2199,0.4097,0.2403,0.1301
616,1370124888049061895,"It’s MARCH MADNESS TIME, BABY. Choose wisely in our tournament polls and we’ll hook you up with some sweet deals.

❤️ ",affiliative,affiliative,correct,0.1678,0.4688,0.2326,0.1308
624,1367313189030006787,it’s all boneless,aggressive,aggressive,correct,0.3558,0.2840,0.2387,0.1215
625,1365415423047577602,Should I ban george again?,aggressive,aggressive,correct,0.3440,0.2312,0.1795,0.2453
626,1365376931051548678,"Well, you convinced us to play genshin impact, but now you have to come to the stream and help us figure out what we’re ",affiliative,affiliative,correct,0.1731,0.5197,0.1770,0.1301
627,1364258730125197314,"What’s poppin? Is that a thing people say still? Anyway, the answer is this Jalapeño Popper Chicken Sandwich. It rules.",self-enhancing,self-enhancing,correct,0.2432,0.2068,0.4494,0.1005
629,1362850965838258179,We’re kicking bass and takin lakes! We’re reelin in some fresh fish and dealin out our new Crispy Panko Fish Sandwich. C,self-enhancing,affiliative,inter_other_confusion,0.2262,0.4009,0.2692,0.1037
631,1361826031137652737,Oh no...how embarrassing. Hopefully no one reads this.,self-defeating,self-defeating,correct,0.2731,0.1636,0.1651,0.3982
633,1360298310762979329,Savor the moment. The best roasts of #NationalRoastDay 2021 are right here. https://t.co/naLA8BFQrw,affiliative,aggressive,false_aggressive,0.3414,0.2492,0.2580,0.1513
634,1360011130048049153,"Well, that was fun. To all of those we torched, as they say, “you roast the ones you love.” If we didn’t get to you, may",affiliative,aggressive,false_aggressive,0.3304,0.3069,0.1560,0.2066
639,1359973584878391306,Looks like you're about to open up a circle pit at a Build-A-Bear. #NationalRoastDay,aggressive,aggressive,correct,0.3802,0.3083,0.2201,0.0914
642,1359943682221363204,"You're what people put up to scare the scarecrows.

Loved your work in trolls world tour

If you give this guy a swi",aggressive,aggressive,correct,0.4129,0.2448,0.2022,0.1401
648,1359919274958196736,Congrats on being the world’s first stale flavored chip.  #NationalRoastDay,aggressive,aggressive,correct,0.4095,0.2897,0.1751,0.1257
650,1359908897054732290,Even Papa John wouldn't eat 40 of you in 30 days. #NationalRoastDay,aggressive,affiliative,false_non_aggressive,0.3188,0.3453,0.1581,0.1778
653,1359902805901910026,"Dude, your eyes need to start practicing some social distancing. #NationalRoastDay",aggressive,aggressive,correct,0.4417,0.2420,0.2274,0.0890
657,1359577880326524935,"#NationalRoastDay is tomorrow.
If you didn’t know, now you know. Either way, you’re a jabroni.",aggressive,aggressive,correct,0.3177,0.2103,0.1808,0.2912
658,1359215493626949637,"rOaSt Me WeNdY’s
Fine. Come back on Thursday cause we’re roasting everyone on Thursday cause Thursday is #NationalRoast",aggressive,affiliative,false_non_aggressive,0.2893,0.2908,0.2716,0.1483
661,1356328102188748802,"Making a mcstake can happen, just glad you learned from it.",affiliative,aggressive,false_aggressive,0.3572,0.3203,0.2310,0.0916
668,1346894350182182912,"Hey funny zoom background guy, it’s a new year. That means finding something else to make up for your lack of personalit",affiliative,aggressive,false_aggressive,0.3974,0.3060,0.1710,0.1256
672,1340008979494301696,"First we wake, then we BACONATE! @MMATAband, you ready?",affiliative,affiliative,correct,0.2500,0.3777,0.2458,0.1265
674,1339620945347178500,"Listen, the family photo shoot turned out great, but Baconator makes everything better. Send us your family holiday card",affiliative,affiliative,correct,0.2342,0.3932,0.2369,0.1358
676,1338523478648107011,Ain’t no party like a Baconator party cause a Baconator party…,affiliative,aggressive,false_aggressive,0.3736,0.1969,0.2592,0.1703
677,1337140424444669954,We’re live and we’re taking next-gen to the next level. Watch @itshafu enjoy the sweet taste of victory and other dope m,affiliative,affiliative,correct,0.2245,0.3888,0.2845,0.1021
681,1334613261128495106,"Baconator O’Clock=the perf time to baconate, if we do say so ourselves. 

Get to Wendy’s and start baconating with a f",self-enhancing,affiliative,inter_other_confusion,0.2088,0.4711,0.2252,0.0950
683,1333884282247532544,"We’re not gonna say there was a right answer to this, but this seems like y’all were on it. 

Get to Wendy’s and see f",affiliative,self-enhancing,inter_other_confusion,0.1843,0.3489,0.3529,0.1138
685,1333864403498795008,"Made my first sale on #Redbubble, now I have to figure out how to spend my 22¢! ☺️ @Wendys #AmongUs https://t.co/e7xNqM7",affiliative,affiliative,correct,0.2335,0.2814,0.2475,0.2376
687,1332670830015180803,🥓 Morning win! 🥓 $5 off Breakfast thru Grubhub. Get it. https://t.co/mhOghjfBS4,affiliative,affiliative,correct,0.1900,0.4148,0.2742,0.1210
689,1329177361267429376,"Putting stories in the Wendy's app.
jk no one asked for that. https://t.co/AqIA0o1C2V",self-defeating,self-defeating,correct,0.2090,0.2781,0.1818,0.3311
690,1328791788988096512,WE’RE GOIN’ TO WENDY’S https://t.co/mPMwZMygLo,self-enhancing,affiliative,inter_other_confusion,0.1385,0.3683,0.2799,0.2134
694,1327327865160036352,"Only an impostor would not watch this stream. Don’t be sus, join us live: https://t.co/P0GZ7DIn5g",aggressive,affiliative,false_non_aggressive,0.2435,0.3291,0.2662,0.1612
699,1326221906916352003,Y’all want a free chicken sandwich?,affiliative,self-enhancing,inter_other_confusion,0.2865,0.1744,0.4352,0.1039
705,1321203076171182080,that fry is longer than waiting for a text back,aggressive,self-enhancing,false_non_aggressive,0.2328,0.2738,0.3110,0.1824
711,1318624118070280192,lol hope they'll still take your return at Spirit Halloween after the stink of this tweet gets on the costume,aggressive,aggressive,correct,0.3972,0.2516,0.1916,0.1596
712,1318616066386481152,"Stick to pushing the food that’s so “good”you took it out of your name. 

My grandma has more heat in her roasts.",aggressive,affiliative,false_non_aggressive,0.2577,0.3030,0.2197,0.2196
713,1318582764652867591,Here’s some advice about spice: It’s always better on a donut (like the Spicy Ghost Pepper Donut). 🔥🍩 #DunkinSpicySide h,self-enhancing,aggressive,false_aggressive,0.2908,0.2907,0.2608,0.1577
716,1316371848960061440,"You put in the work, now it’s time for your reward. Head to @UberEats now and get up to 30% off breakfast today through ",affiliative,affiliative,correct,0.2846,0.3943,0.2179,0.1032
718,1315790897695666176,the first thing you order when you leave the bubble,self-enhancing,aggressive,false_aggressive,0.3478,0.2892,0.1977,0.1654
723,1314250917953318912,Burger King could never https://t.co/5aCAxQtEXM,aggressive,affiliative,false_non_aggressive,0.3066,0.3324,0.2250,0.1360
725,1310646202082492417,"don't think they'll live long, or prosper tbh",aggressive,aggressive,correct,0.3508,0.2553,0.2779,0.1161
728,1309543210793009152,"Pretzel Bacon Pub Cheeseburger. @DrPepper. We call it the Dr PubberCombo. Well, not officially, but you could. https://t",aggressive,affiliative,false_non_aggressive,0.2178,0.3412,0.1700,0.2710
734,1303726230966075392,Sliding into your mentions like https://t.co/kKfWx8zdMO,affiliative,aggressive,false_aggressive,0.3100,0.2928,0.2987,0.0986
741,1300451564763709440,Friends don’t let friends miss a breakfast BOGO. https://t.co/1BDp1fKpa4,affiliative,self-enhancing,inter_other_confusion,0.2407,0.3035,0.3469,0.1090
746,1298984742822412288,One for you and one for you. 😎 https://t.co/dk6c4f4GqQ,affiliative,affiliative,correct,0.1949,0.3670,0.2193,0.2187
750,1297919369109012481,"Some of you are still sleeping on our breakfast? Tag a friend that needs a lesson in good, morning eating.",affiliative,self-enhancing,inter_other_confusion,0.2117,0.3152,0.3593,0.1138
751,1296875748834320388,I dip... you dip...,affiliative,aggressive,false_aggressive,0.3626,0.2823,0.2050,0.1502
754,1296100179976822785,Been working on the ol' photoshop skills. Hit us up and we’ll spice up your profile pic.,affiliative,affiliative,correct,0.2784,0.3799,0.1878,0.1539
758,1294005354607542274,"Wendy's back on the Fall Guys again

0 dubs so far 😂👌",self-defeating,aggressive,false_aggressive,0.3503,0.2354,0.2829,0.1315
762,1293256222922203138,"Hope your server maintenance is as active as your twitter 😉

(and make sure the crowns aren’t paper)",aggressive,aggressive,correct,0.4579,0.2161,0.2303,0.0956
766,1291837518455779328,4:44 on the clock I’m in my drop top getting some eats.,affiliative,self-enhancing,inter_other_confusion,0.2907,0.1914,0.3372,0.1807
767,1291462568511406081,The burgers are square for a reason.,aggressive,aggressive,correct,0.4181,0.2358,0.2320,0.1140
776,1286650842225848321,"Wakey wakey, eggs and bac-y-nator.",affiliative,self-enhancing,inter_other_confusion,0.1939,0.3158,0.3478,0.1425
778,1285658885366386688,We’re heading back to the island for a quick swim. Grab a Strawberry Lemonade to sip while we dip in the stream. https:/,affiliative,affiliative,correct,0.1961,0.3809,0.2621,0.1609
779,1283561455787347973,"Sorry, Nick. No dice.",aggressive,self-defeating,false_non_aggressive,0.1736,0.2092,0.1927,0.4244
799,1268326640972595206,We’re about putting our money where our mouth is. So here’s our money and here’s our mouth. We are committed to donating,self-enhancing,affiliative,inter_other_confusion,0.2024,0.4164,0.2879,0.0933
801,1266395345996652552,We’re moving National Roast Day because there are going to be better times for it. Love you guys.,affiliative,affiliative,correct,0.2413,0.3611,0.3070,0.0906
802,1266084754832719872,"#NationalRoastDay starts right here tomorrow at 11am ET. For everyone that’s said “Roast Me Wendy’s,”...Tomorrow’s looki",aggressive,aggressive,correct,0.3367,0.2578,0.2678,0.1377
805,1263549059962408962,"Alright Wendys, your time has come. Do you have what it takes to be the Queen of the Hill? Suit up and enter our Super S",affiliative,affiliative,correct,0.1996,0.4122,0.2154,0.1728
810,1260917780594884608,"Sorry, private meeting. Elite breakfast foods only. https://t.co/skbJUhiqgc",self-enhancing,affiliative,inter_other_confusion,0.1849,0.3663,0.3372,0.1116
844,1257152398566592516,"No, this is THE Wendy's.",affiliative,self-defeating,inter_other_confusion,0.1975,0.1179,0.1902,0.4944
846,1257082671118913537,"This week, we will be hiding codes. Lots of codes. Codes that will score you free Wendy's. Hidden across our entire inte",affiliative,affiliative,correct,0.2130,0.4203,0.1928,0.1739
854,1254757690321932288,Now that really honey butters my biscuit! https://t.co/xkZxxXsVwM,affiliative,self-defeating,inter_other_confusion,0.2005,0.2959,0.1923,0.3113
859,1252980092113993730,"Everyone has become their own hairstylist. We all need a nug. This Friday ONLY, we’re giving America a big GroupNug. Get",affiliative,affiliative,correct,0.1910,0.4503,0.2204,0.1383
862,1252379047335608320,We’re giving America a GroupNug this Friday. ♥ this tweet and we’ll remind you when to get your free 4pc nuggets! https:,affiliative,affiliative,correct,0.1597,0.5913,0.1502,0.0988
863,1252355382657216512,"Not gonna lie, all this love y’all are showing has inspired us. We wish we could give you a hug, but instead…how about a",affiliative,affiliative,correct,0.2360,0.3624,0.2089,0.1927
864,1252250012676997123,"Everyone could use some extra love right now, so we’re trading our usual roasting for a little toasting.

Let’s use th",affiliative,affiliative,correct,0.3076,0.3454,0.1637,0.1833
867,1250053580716990467,"Had so much fun last week, we figured we’d do it again! Get your hands on a free Breakfast Baconator in the Wendy's app ",affiliative,affiliative,correct,0.1873,0.4971,0.2215,0.0941
875,1248698613045366785,"Shout out to the girl that keeps ""losing"" her phone. 

Maybe while she downloads the findmyphone app you can enjoy a F",aggressive,affiliative,false_non_aggressive,0.3044,0.3365,0.2495,0.1096
876,1248693897263448071,"Um, hey, Cousin. Give the HDMI back. This is not a game.
You have 48 hours.

In the meantime we will enjoy a Free Dav",aggressive,affiliative,false_non_aggressive,0.3008,0.3588,0.1936,0.1467
885,1248679862384185347,Shout out to LostMermaid. It's never too late to reply back. Even if it has been like...a year. The internet can see you,affiliative,affiliative,correct,0.3372,0.3614,0.1921,0.1093
888,1248677421588586496,"Come on now! You can't hit them with the old fruit and scoot! 

Might be out of oranges, but at least you've still got",affiliative,affiliative,correct,0.2433,0.4126,0.2032,0.1408
912,1235705290755960832,"We love you too sweet, sweet Guillermo.",affiliative,affiliative,correct,0.2282,0.3605,0.2984,0.1129
915,1234448367230627840,BREAKFAST NEWS! Wendy's is now serving up breakfast. Sources say it's “pretty lit.” https://t.co/meBemp31hH,self-enhancing,affiliative,inter_other_confusion,0.1717,0.3390,0.3298,0.1595
919,1233494419925585924,Here lies mediocrity. #EggRIPMuffin https://t.co/fYxcn8LObe,aggressive,self-enhancing,false_non_aggressive,0.1959,0.2748,0.3166,0.2127
927,1229264235387129856,"BURGER KING is testing a sandwich with nothing but french fries:

https://t.co/cMELl6fZaV https://t.co/D1taIscJk2",aggressive,self-enhancing,false_non_aggressive,0.2295,0.3043,0.3517,0.1145
933,1224794757559455746,When they ask what your weaknesses are during the interview.,aggressive,aggressive,correct,0.3700,0.3025,0.1890,0.1384
940,1220437845388730370,Is it a garbage truck?,aggressive,self-enhancing,false_non_aggressive,0.3430,0.1799,0.3859,0.0912
944,1217123276549427201,That's what we call a glow up.,affiliative,affiliative,correct,0.3150,0.4325,0.1527,0.0998
945,1216894246021713920,Looked who dropped by to see what Spicy Nuggets were supposed to taste like.,affiliative,aggressive,false_aggressive,0.3095,0.2162,0.2865,0.1878
947,1216801098608017413,Not saying eating our french fries gets you an #Oscar nomination but also...sup,self-defeating,aggressive,false_aggressive,0.3397,0.3223,0.2371,0.1009
951,1207700570213101585,"meryl can have a little french fries, as a treat.",affiliative,aggressive,false_aggressive,0.3293,0.1951,0.1817,0.2939
958,1205932906406920194,Watch Rick and Morty with us on Sunday and try to get five in a row on this game your grandma loves that we can’t legall,affiliative,affiliative,correct,0.2139,0.4993,0.2006,0.0863
961,1205531387975090177,Wendy’s cups should be square but no one wants to poke that tiger,aggressive,self-defeating,false_non_aggressive,0.2928,0.1990,0.1469,0.3612
971,1198858858267127809,What's the most disrespectful diss track of all time?,aggressive,affiliative,false_non_aggressive,0.2892,0.3866,0.1565,0.1677
972,1198363148094328832,"To be fair, you have to have a very high IQ to understand Rick and Morty. So make sure you watch it this Sunday night, g",affiliative,affiliative,correct,0.2857,0.3857,0.1972,0.1314
